,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
551,51,0.91,0.05,Lee_et_al_Science_Covidonly
552,52,0.911,0.05,Lee_et_al_Science_Covidonly
553,53,0.912,0.05,Lee_et_al_Science_Covidonly
554,54,0.913,0.05,Lee_et_al_Science_Covidonly
555,55,0.911,0.05,Lee_et_al_Science_Covidonly
556,56,0.904,0.05,Lee_et_al_Science_Covidonly
557,57,0.909,0.05,Lee_et_al_Science_Covidonly
558,58,0.91,0.05,Lee_et_al_Science_Covidonly
559,59,0.912,0.05,Lee_et_al_Science_Covidonly
560,60,0.91,0.05,Lee_et_al_Science_Covidonly
561,61,0.912,0.05,Lee_et_al_Science_Covidonly
562,62,0.907,0.05,Lee_et_al_Science_Covidonly
563,63,0.912,0.05,Lee_et_al_Science_Covidonly
564,64,0.911,0.05,Lee_et_al_Science_Covidonly
565,65,0.911,0.05,Lee_et_al_Science_Covidonly
566,66,0.91,0.05,Lee_et_al_Science_Covidonly
567,67,0.908,0.05,Lee_et_al_Science_Covidonly
568,68,0.911,0.05,Lee_et_al_Science_Covidonly
569,69,0.911,0.05,Lee_et_al_Science_Covidonly
570,70,0.912,0.05,Lee_et_al_Science_Covidonly
571,71,0.91,0.05,Lee_et_al_Science_Covidonly
572,72,0.911,0.05,Lee_et_al_Science_Covidonly
573,73,0.911,0.05,Lee_et_al_Science_Covidonly
574,74,0.905,0.05,Lee_et_al_Science_Covidonly
575,75,0.91,0.05,Lee_et_al_Science_Covidonly
576,76,0.908,0.05,Lee_et_al_Science_Covidonly
577,77,0.911,0.05,Lee_et_al_Science_Covidonly
578,78,0.903,0.05,Lee_et_al_Science_Covidonly
579,79,0.905,0.05,Lee_et_al_Science_Covidonly
580,80,0.911,0.05,Lee_et_al_Science_Covidonly
581,81,0.912,0.05,Lee_et_al_Science_Covidonly
582,82,0.911,0.05,Lee_et_al_Science_Covidonly
583,83,0.909,0.05,Lee_et_al_Science_Covidonly
584,84,0.909,0.05,Lee_et_al_Science_Covidonly
585,85,0.907,0.05,Lee_et_al_Science_Covidonly
586,86,0.902,0.05,Lee_et_al_Science_Covidonly
587,87,0.912,0.05,Lee_et_al_Science_Covidonly
588,88,0.91,0.05,Lee_et_al_Science_Covidonly
589,89,0.905,0.05,Lee_et_al_Science_Covidonly
590,90,0.913,0.05,Lee_et_al_Science_Covidonly
591,91,0.912,0.05,Lee_et_al_Science_Covidonly
592,92,0.908,0.05,Lee_et_al_Science_Covidonly
593,93,0.911,0.05,Lee_et_al_Science_Covidonly
594,94,0.912,0.05,Lee_et_al_Science_Covidonly
595,95,0.91,0.05,Lee_et_al_Science_Covidonly
596,96,0.903,0.05,Lee_et_al_Science_Covidonly
597,97,0.91,0.05,Lee_et_al_Science_Covidonly
598,98,0.908,0.05,Lee_et_al_Science_Covidonly
599,99,0.907,0.05,Lee_et_al_Science_Covidonly
0,0,0.908,0.3,Lee_et_al_Science_Covidonly
1,1,0.901,0.3,Lee_et_al_Science_Covidonly
2,2,0.907,0.3,Lee_et_al_Science_Covidonly
3,3,0.901,0.3,Lee_et_al_Science_Covidonly
4,4,0.902,0.3,Lee_et_al_Science_Covidonly
5,5,0.911,0.3,Lee_et_al_Science_Covidonly
6,6,0.902,0.3,Lee_et_al_Science_Covidonly
7,7,0.912,0.3,Lee_et_al_Science_Covidonly
8,8,0.899,0.3,Lee_et_al_Science_Covidonly
9,9,0.906,0.3,Lee_et_al_Science_Covidonly
10,10,0.91,0.3,Lee_et_al_Science_Covidonly
11,11,0.889,0.3,Lee_et_al_Science_Covidonly
